asks,answer_right,resp_1,resp_2,resp_3,resp_4,resp_5,resp_6,resp_7,resp_8,resp_9,resp_10,resp_11,resp_12
41,C,C,c,c,C,C,C,D,D,C,D,C,C
42,A ,A,a,a,A,A,A,C,A,A,D,A,C
43,A,C,b,c,A,D,A,A,B,A,A,D,C
44,A,A,c,b,B,A,A,B,A,C,C,A,D
45,A,B,a,a,B,A,a,D,A,A,B,A,A
46,B,A,a,d,A,D,d,A,D,A,A,C,A
47,C,B,b,c,A,A,c,B,C,B,A,C,B
48,A,A,a,c,C,A,a,B,D,A,D,D,A
49,A,A,b,c,A,A,a,A,A,A,B,D,A
50,A,A,b,d,A,D,a,A,A,D,A,B,C
51,C,C,b,a,D,C,c,D,A,B,B,C,A
52,D,B,a,a,B,B,d,A,A,B,D,A,A
53,B,A,b,b,B,B,b,B,B,D,D,A,B
54,B,B,c,d,C,B,b,B,C,C,D,B,B
55,A,B,b,a,C,A,d,D,B,B,C,D,D
56,B,B,b,b,B,B,b,C,B,C,B,A,B
57,B,C,b,b,D,B,b,C,C,A,D,B,C
58,C,C,d,c,C,C,c,B,C,D,C,A,B
59,C,D,c,d,D,A,c,D,D,C,A,D,C
60,B,C,b,b,C,C,c,C,C,B,B,B,C
61,C,B,c,b,B,C,D,B,C,B,A,C,C
62,A,A,c,a,B,A,a,A,A,B,C,A,C
63,D,D,a,d,D,C,d,D,D,A,A,D,A
64,B,B,b,a,A,C,b,B,B,B,B,D,B
65,C,A,c,a,A,D,c,C,A,C,C,A,C
66,C,D,c,c,B,A,c,B,B,B,C,D,A
67,D,C,d,b,B,C,D,C,B,B,D,D,D
68,A,B,a,b,B,A,a,B,A,A,A,A,B
69,A,D,a,b,D,B,c,B,B,D,B,B,A
70,B,C,b,a,C,C,b,A,C,A,B,C,A
71,C,A,c,b,D,C,c,D,D,A,C,A,D
72,B,C,b,a,C,D,d,B,B,A,B,B,C
73,B,A,b,a,A,C,b,C,C,A,B,C,D
74,C,C,c,c,A,C,c,C,C,A,C,C,C
75,B,A,b,c,B,D,b,D,A,A,A,A,B
76,A,B,a,d,C,A,a,B,C,A,C,A,A
77,B,B,b,d,A,A,b,C,D,A,A,B,C
78,B,C,b,a,C,B,b,A,D,A,D,B,B
